Brand,Price
toyota,6300
ford,2899
dodge,5350
ford,25000
chevrolet,27700
dodge,5700
chevrolet,7300
gmc,13350
chevrolet,14600
ford,5250
dodge,10400
gmc,12920
chevrolet,31900
chrysler,5430
ford,20700
gmc,12710
kia,5200
buick,16500
ford,5210
ford,38100
gmc,12520
kia,7300
chevrolet,15000
ford,6180
ford,20800
gmc,11900
kia,21500
buick,12000
ford,4190
ford,13000
gmc,12710
infiniti,18500
chevrolet,29800
ford,5330
ford,13000
gmc,11900
mercedes-benz,16600
chevrolet,19200
ford,7320
ford,7000
gmc,12710
mercedes-benz,16600
chevrolet,30500
ford,6330
ford,55000
gmc,12520
jeep,16200
chevrolet,19000
dodge,5580
